medcode,readcode,readterm,cat
92909,J615500,Hypertrophic portal cirrhosis,Liver disease
92925,7A11211,Y graft of abdominal Aortic aneurysm (emergency),Peripheral vascular disease
92955,H32y000,Acute vesicular emphysema,Chronic pulmonary disease
92993,1T32.00,H/O infrequent benzodiazepine misuse,Drug abuse
92994,E10y.11,Cenesthopathic schizophrenia,Psychoses
93060,7A13100,Emerg replace aneurysm thor aorta by anastom aorta to aorta,Peripheral vascular disease
93083,7A5A.00,Transluminal stent assisted coil embolisation of aneurysm,Peripheral vascular disease
93109,1T11.00,H/O weekly methadone misuse,Drug abuse
93113,G14021X,Rheumatic tricuspid stenosis and regurgitation,Valvular disease
93114,G140200,Rheumatic tricuspid stenosis and insufficiency,Valvular disease
93137,F144.00,Cerebellar ataxia in diseases EC,Other neurological disorders
93158,7910000,Allograft replacement of mitral valve,Valvular disease
93159,C03y100,Congenital hypothyroidism without goitre,Hypothyroidism
93175,BBZ2.11,[M]Intraosseous carcinoma,Solid tumour or leukaemia
93192,ZRhi.00,Rust inventory of schizotypal cognitions,Psychoses
93193,1T73.00,Previous history of hallucinogen misuse,Drug abuse
93206,H353.00,Suberosis ( cork-handlers' lung ),Chronic pulmonary disease
93216,3296,ECG: partial A-V block - 3:1,Cardiac arrythmia
93218,B03z.00,Malignant neoplasm of gum NOS,Solid tumour or leukaemia
93263,1TA..00,H/O barbiturate misuse,Drug abuse
93323,C03z.11,Congenital thyroid insufficiency,Hypothyroidism
93352,B338.00,Squamous cell carcinoma of skin,Solid tumour or leukaemia
93353,H35y600,Sequoiosis (red-cedar asthma),Chronic pulmonary disease
93372,F103.00,Cerebral degeneration in diseases EC,Other neurological disorders
93380,C10N100,Cystic fibrosis related diabetes mellitus,Chronic pulmonary disease
93384,B62z200,Unspec malig neop lymphoid/histiocytic of intrathoracic node,Lymphoma
93390,9OLH.00,Attended DAFNE diabetes structured education programme,Diabetes (uncomplicated)
93402,7G05D00,Excision biopsy of basal cell carcinoma,Solid tumour or leukaemia
93412,13cM.00,Substance misuse,Drug abuse
93460,14AR.00,History of atrial flutter,Cardiac arrythmia
93468,C10EG00,Type 1 diabetes mellitus with peripheral angiopathy,Diabetes with end-organ damage
93478,B138.00,"Malignant neoplasm, overlapping lesion of colon",Solid tumour or leukaemia
93482,7A6Ky00,Other specified operations on individual pulmonary veins,Pulmonary circulation disorders
93485,791B200,Operations on mitral subvalvar apparatus,Valvular disease
93490,B33z.11,Squamous cell carcinoma of skin NOS,Solid tumour or leukaemia
93491,9OLJ.00,DAFNE diabetes structured education programme completed,Diabetes (uncomplicated)
93528,1TB0.00,H/O daily major tranquilliser misuse,Drug abuse
93529,9OLK.00,DESMOND diabetes structured education programme completed,Diabetes (uncomplicated)
93537,B517200,Malignant neoplasm of midbrain,Solid tumour or leukaemia
93554,1T01.00,H/O weekly heroin misuse,Drug abuse
93561,P601z00,Congenital atresia of pulmonary valve NOS,Valvular disease
93568,H39..00,Very severe chronic obstructive pulmonary disease,Chronic pulmonary disease
93577,H435.00,Stannosis,Chronic pulmonary disease
93627,7A1Cz00,Translum ins stent graft for aneurysmal segment of aorta NOS,Peripheral vascular disease
93631,9OLL.00,XPERT diabetes structured education programme completed,Diabetes (uncomplicated)
93639,388p.00,BASDAI - Bath ankylosing spondylitis disease activity index,Rheumatoid arthritis and collagen diseases
93642,43w3.00,Human immunodeficiency virus RNA/DNA ratio,HIV/AIDS
93657,8Hj4.00,Referral to DESMOND diabetes structured education programme,Diabetes (uncomplicated)
93665,Byu5300,"[X]Kaposi's sarcoma, unspecified",Solid tumour or leukaemia
93704,8Hj3.00,Referral to DAFNE diabetes structured education programme,Diabetes (uncomplicated)
93715,Nyu1100,[X]Other seropositive rheumatoid arthritis,Rheumatoid arthritis and collagen diseases
93716,B561z00,Secondary and unspec malig neop intrathoracic LN NOS,Metastatic cancer
93727,C10FE11,Type II diabetes mellitus with diabetic cataract,Diabetes with end-organ damage
93762,B42..00,Malignant neoplasm of placenta,Solid tumour or leukaemia
93774,1T31.00,H/O weekly benzodiazepine misuse,Drug abuse
93778,B1z1z00,Malignant neoplasm of spleen NOS,Solid tumour or leukaemia
93794,7A26D00,Reconstruction of subclavian artery with vein graft,Peripheral vascular disease
93842,B062300,Malignant neoplasm of palatopharyngeal arch,Solid tumour or leukaemia
93850,8HkF.00,Referral to substance misuse service,Drug abuse
93854,9OLM.00,Diabetes structured education programme declined,Diabetes (uncomplicated)
93870,8Hj5.00,Referral to XPERT diabetes structured education programme,Diabetes (uncomplicated)
93875,C10E712,Insulin dependent diabetes mellitus with retinopathy,Diabetes with end-organ damage
93878,C10E511,Type I diabetes mellitus with ulcer,Diabetes with end-organ damage
93902,P103.00,Spina bifida with hydrocephalus - closed,Other neurological disorders
93922,C104000,"Diabetes mellitus, juvenile type, with renal manifestation",Diabetes with end-organ damage
93924,7912.12,Tricuspid valvuloplasty,Valvular disease
93945,A98yy13,Gonococcal perihepatitis,Liver disease
93951,B613500,"Hodgkin's, lymphocytic-histiocytic pred inguinal and leg",Lymphoma
93959,7A1B.00,Transluminal operations on aneurysmal segment of aorta,Peripheral vascular disease
93968,791D.00,Excision of valve of heart,Valvular disease
93979,8B2T.00,Opioid antagonist therapy,Drug abuse
93980,8B2S.00,Opioid agonist substitution therapy,Drug abuse
94001,Eu20y12,[X]Schizophreniform disord NOS,Psychoses
94005,B615z00,"Hodgkin's disease, mixed cellularity NOS",Lymphoma
94011,9OLG.00,Attended XPERT diabetes structured education programme,Diabetes (uncomplicated)
94083,BB5P.00,[M]Solid carcinoma NOS,Solid tumour or leukaemia
94104,761Jy00,Other specified operation on gastric ulcer,Peptic ulcer disease
94105,P7y0y00,Other specified cerebrovascular anomaly,Other neurological disorders
94150,Fyu1000,[X]Other hereditary ataxias,Other neurological disorders
94155,7A58z00,Transluminal coil embolisation of aneurysm NOS,Peripheral vascular disease
94186,9OLF.00,Diabetes structured education programme completed,Diabetes (uncomplicated)
94220,B540100,Malignant neoplasm of adrenal medulla,Solid tumour or leukaemia
94237,C232.00,Physical retardation due to protein-calorie malnutrition,Weight loss
94239,BBp1.00,[M]Mast cell sarcoma,Lymphoma
94251,B00z100,"Malignant neoplasm of lip, unspecified, lipstick area",Solid tumour or leukaemia
94261,K00y100,Acute exudative nephritis,Renal disease
94278,B110111,Malignant neoplasm of gastro-oesophageal junction,Solid tumour or leukaemia
94279,B61z700,Hodgkin's disease NOS of spleen,Lymphoma
94286,BBG8.11,[M]Congenital fibrosarcoma,Solid tumour or leukaemia
94299,E105200,Chronic latent schizophrenia,Psychoses
94330,8H4e.00,Referral to diabetes special interest general practitioner,Diabetes (uncomplicated)
94331,7A1C.00,Translum insert stent graft for aneurysmal segment of aorta,Peripheral vascular disease
94345,7913z00,Plastic repair of pulmonary valve NOS,Valvular disease
94350,K032z00,Nephritis unsp+membranoprolif glomerulonephritis lesion NOS,Renal disease
94355,B55y200,Malignant neoplasm of flank NOS,Solid tumour or leukaemia
94373,K01y.00,Nephrotic syndrome with other pathological kidney lesions,Renal disease
94383,C10N000,Secondary diabetes mellitus without complication,Diabetes (uncomplicated)
94390,B070.00,Malignant neoplasm of roof of nasopharynx,Solid tumour or leukaemia
94407,B615100,"Hodgkin's mixed cellularity of lymph nodes head, face, neck",Lymphoma
94408,G720z00,Aneurysm of arm artery NOS,Peripheral vascular disease
94415,B623100,"Malignant histiocytosis of lymph nodes head, face and neck",Lymphoma
94427,B305C00,Malignant neoplasm of fifth metacarpal bone,Solid tumour or leukaemia
94436,E258z00,Nondependent antidepressant type drug abuse NOS,Drug abuse
94438,BB85z00,[M]Signet ring carcinoma NOS,Solid tumour or leukaemia
94441,B003300,"Malignant neoplasm of lower lip, oral aspect",Solid tumour or leukaemia
94482,Gyu6G00,[X]Cereb infarct due unsp occlus/stenos precerebr arteries,Other neurological disorders
94486,H593.00,Chronic type 2 respiratory failure,Chronic pulmonary disease
94521,Gyu1100,[X]Other rheumatic aortic valve diseases,Valvular disease
94540,Fyu2600,[X]Other chorea,Other neurological disorders
94553,8HkG.00,Referral to specialist alcohol treatment service,Alcohol abuse
94556,7A46y00,Other replacement of aneurysmal femoral/popliteal artery OS,Peripheral vascular disease
94575,H433.00,Graphite fibrosis of lung,Chronic pulmonary disease
94604,Eu23214,[X]Schizophrenic reaction,Psychoses
94670,136W.00,Alcohol misuse,Alcohol abuse
94682,7A1C100,Endovas insert of stent graft for suprarenal aortic aneurysm,Peripheral vascular disease
94686,8Hh1.00,Self referral to substance misuse service,Drug abuse
94693,13r4.00,Abstinent from drug misuse when receiving blocking therapy,Drug abuse
94699,ZRB5.00,Diabetes treatment satisfaction questionnaire,Diabetes (uncomplicated)
94732,Q207z00,Cranial or peripheral nerve palsy due to birth trauma NOS,Paralysis
94750,BBp0.00,[M]Mastocytoma NOS,Lymphoma
94776,B1z2.00,"Malignant neoplasm, overlapping lesion of digestive system",Solid tumour or leukaemia
94784,7A45.15,Emergency replacement aneurysmal superficial femoral artery,Peripheral vascular disease
94789,1Z17.00,Chronic kidney disease stage 1 with proteinuria,Renal disease
94793,1Z1B.00,Chronic kidney disease stage 3 with proteinuria,Renal disease
94810,BBB4.00,[M]Adenocarcinoma with spindle cell metaplasia,Solid tumour or leukaemia
94870,G580400,Congestive heart failure due to valvular disease,Congestive heart failure
94872,G133.11,Mitral and aortic insufficiency,Valvular disease
94873,BB2A.13,[M]Squamous cell carcinoma of skin NOS,Solid tumour or leukaemia
94894,H431.00,Bauxite fibrosis of lung,Chronic pulmonary disease
94915,C043200,Hypothyroidism resulting from resorcinol,Hypothyroidism
94935,4M21.00,Lymphoma stage II,Lymphoma
94940,A93..00,Cardiovascular syphilis,Valvular disease
94946,H592.00,Chronic type 1 respiratory failure,Chronic pulmonary disease
94955,9NiE.00,Did not attend XPERT diabetes structured education programme,Diabetes (uncomplicated)
94956,8I84.00,Did not complete XPERT diabetes structured education program,Diabetes (uncomplicated)
94965,1Z15.00,Chronic kidney disease stage 3A,Renal disease
94975,B241300,Malignant neoplasm of pericardium,Solid tumour or leukaemia
94995,B620500,Nodular lymphoma of lymph nodes of inguinal region and leg,Lymphoma
94996,H572.00,Lung disease with systemic sclerosis,Chronic pulmonary disease
95008,BB82112,[M]Gelatinous adenocarcinoma,Solid tumour or leukaemia
95012,B621800,Mycosis fungoides of lymph nodes of multiple sites,Lymphoma
95016,B0z1.00,Malignant neoplasm of Waldeyer's ring,Solid tumour or leukaemia
95018,P110z00,Unspecified spina bifida without hydrocephalus NOS,Other neurological disorders
95021,9N4s.00,Did not attend practice nurse heart failure clinic,Congestive heart failure
95024,BBG8.00,[M]Infantile fibrosarcoma,Solid tumour or leukaemia
95027,SL6yz00,Antiparkinsonian drug poisoning NOS,Other neurological disorders
95046,BB60.00,[M]Skin appendage adenoma and carcinoma,Solid tumour or leukaemia
95049,B616000,Hodgkin's lymphocytic depletion of unspecified site,Lymphoma
95057,B34y000,Malignant neoplasm of ectopic site of female breast,Solid tumour or leukaemia
95058,B600700,Reticulosarcoma of spleen,Lymphoma
95082,24D8.00,O/E-pulmonary diastolic murmur,Valvular disease
95093,8I83.00,Did not complete DESMOND diabetes structured educat program,Diabetes (uncomplicated)
95094,8I81.00,Did not complete diabetes structured education programme,Diabetes (uncomplicated)
95121,1Z1A.00,Chronic kidney disease stage 2 without proteinuria,Renal disease
95122,1Z1H.00,Chronic kidney disease stage 4 with proteinuria,Renal disease
95123,1Z1C.00,Chronic kidney disease stage 3 without proteinuria,Renal disease
95145,1Z1B.11,CKD stage 3 with proteinuria,Renal disease
95146,1Z19.00,Chronic kidney disease stage 2 with proteinuria,Renal disease
95150,BB81B00,[M]Serous surface papillary carcinoma,Solid tumour or leukaemia
95159,9NiD.00,Did not attend DESMOND diabetes structured education program,Diabetes (uncomplicated)
95170,7A58y00,Other specified transluminal coil embolisation of aneurysm,Peripheral vascular disease
95175,1Z1E.00,Chronic kidney disease stage 3A without proteinuria,Renal disease
95176,1Z1E.11,CKD stage 3A without proteinuria,Renal disease
95177,1Z1G.00,Chronic kidney disease stage 3B without proteinuria,Renal disease
95178,1Z1F.00,Chronic kidney disease stage 3B with proteinuria,Renal disease
95179,1Z16.00,Chronic kidney disease stage 3B,Renal disease
95180,1Z1F.11,CKD stage 3B with proteinuria,Renal disease
95181,Z191211,Alcohol reduction programme,Alcohol abuse
95182,B308100,Malignant neoplasm of talus,Solid tumour or leukaemia
95188,1Z1C.11,CKD stage 3 without proteinuria,Renal disease
95323,B35z000,Malignant neoplasm of ectopic site of male breast,Solid tumour or leukaemia
95334,G210000,Malignant hypertensive heart disease without CCF,Hypertension with end-organ damage
95338,B613600,"Hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes",Lymphoma
95343,C10E711,Type I diabetes mellitus with retinopathy,Diabetes with end-organ damage
95347,Fyu5700,[X]Other vascular syndroms/brain in cerebrovasculr diseases,Other neurological disorders
95351,C10FA11,Type II diabetes mellitus with mononeuropathy,Diabetes with end-organ damage
95373,BBCC100,"[M]Leydig cell tumour, malignant",Solid tumour or leukaemia
95378,B561200,Secondary and unspec malig neop diaphragmatic lymph nodes,Metastatic cancer
95380,1T20.00,H/O daily ecstasy misuse,Drug abuse
95381,Gyu7300,[X]Aneurysm of other specified arteries,Peripheral vascular disease
95390,B800.00,"Carcinoma in situ of lip, oral cavity and pharynx",Solid tumour or leukaemia
95396,1T90.00,H/O daily solvent misuse,Drug abuse
95405,1Z1L.00,Chronic kidney disease stage 5 without proteinuria,Renal disease
95406,1Z1J.00,Chronic kidney disease stage 4 without proteinuria,Renal disease
95408,1Z1D.00,Chronic kidney disease stage 3A with proteinuria,Renal disease
95416,7A46D00,Replace aneurysm popliteal artery by pop/fem anastomosis NEC,Peripheral vascular disease
95421,B45y.00,Malignant neoplasm of other specified female genital organ,Solid tumour or leukaemia
95422,9Ni9.00,Did not attend chronic kidney disease monitoring clinic,Renal disease
95429,B071.00,Malignant neoplasm of posterior wall of nasopharynx,Solid tumour or leukaemia
95437,Nyu4E00,"[X]Dermatopolymyositis, unspecified",Rheumatoid arthritis and collagen diseases
95458,B300300,Malignant neoplasm of nasal bone,Solid tumour or leukaemia
95464,BBl0.00,[M]Mycosis fungoides,Lymphoma
95478,P117200,Thoracic spina bifida without hydrocephalus - open,Other neurological disorders
95480,B001100,"Malignant neoplasm of lower lip, lipstick area",Solid tumour or leukaemia
95488,Gyu4.00,[X]Pulmon heart disease & diseases of pulmonary circulation,Pulmonary circulation disorders
95503,7A40z00,Replacement of aneurysmal iliac artery NOS,Peripheral vascular disease
95505,B41y000,Malignant neoplasm of cervical stump,Solid tumour or leukaemia
95508,1Z1K.00,Chronic kidney disease stage 5 with proteinuria,Renal disease
95532,791C500,Aortoventriculoplasty with pulmonary valve autograft,Valvular disease
95539,C10FS00,Maternally inherited diabetes mellitus,Diabetes (uncomplicated)
